30	15	200	40	0.773545928
15	15	100	70	0.911940683
30	15	100	50	0.814867311
15	20	100	20	1.435332143
30	15	100	40	1.265909048
22	18	100	24	1.457227702
18	23	100	14	1.912673609
10	25	200	15	1.432541304
29	25	100	40	0.777448602
20	20	100	30	1.142195399
15	20	200	20	0.694361186
18	23	100	16	1.536521724
18	23	100	24	1.054096551
30	15	200	70	0.616868756
30	20	100	50	1.306089929
22	18	100	18	2.568407259
14	17	200	40	0.857073355
15	15	100	60	1.360770699
14	17	200	70	0.761082794
15	20	100	40	1.400044509
15	15	100	40	0.968578876
15	20	100	70	1.236995855
20	20	100	20	1.424042411
30	15	200	50	0.623686944
20	20	200	30	0.639524158
27	12	300	34	0.527185071
20	20	200	40	0.583633811
15	15	100	100	0.835540467
30	20	100	30	0.856184664
14	17	200	80	0.694355398
30	15	200	60	0.610484539
30	15	100	100	0.898056384
15	15	200	80	0.579297331
30	15	200	80	0.584010393
18	23	100	18	1.42744727
15	15	300	80	0.48997044
15	15	100	20	1.972683353
14	17	200	50	0.85212508
15	20	100	80	0.987043662
20	20	200	20	0.777587417
15	16	100	16	2.178481596
10	25	200	25	0.771503642
30	15	100	70	1.230927917
15	20	200	40	0.754537261
15	15	300	70	0.538651227
30	15	200	20	0.955296453
30	15	100	30	1.068551445
30	20	100	100	0.79887717
15	15	200	70	0.726396136
30	20	100	40	0.997667623
30	20	100	60	1.088612931
22	18	100	36	1.374326218
15	15	300	30	0.59538378
15	20	200	50	0.768373628
30	15	300	40	0.394028786
28	15	100	16	2.263947216
20	20	100	50	1.101590753
18	23	100	22	0.98210734
15	15	100	80	0.938538151
26	25	300	21	0.593627328
29	25	100	70	0.65610635
30	20	100	90	0.703330372
15	20	200	70	0.626509484
14	17	200	20	1.099575572
15	20	100	90	1.087560553
30	20	100	20	1.100996767
30	15	100	60	0.958956875
14	17	200	100	0.587373084
15	15	300	60	0.644282653
15	15	300	20	0.755031177
30	15	100	20	1.720087588
30	15	300	50	0.445195572
15	15	100	30	1.311226379
20	20	200	50	0.564917798
15	15	300	40	0.640866088
15	20	100	30	1.367249523
15	15	100	90	1.204298023
15	15	200	30	0.953480053
15	15	200	20	1.020652502
15	15	100	50	0.933937176
15	15	200	50	0.894478416
30	20	100	80	0.745117828
30	15	300	20	0.542908875
30	15	100	80	1.068203541
15	15	200	60	0.623929257
30	15	100	90	1.068378634
15	20	100	100	0.978801005
22	18	100	30	1.749733665
15	16	100	20	1.37108134
22	18	100	42	1.531824386
15	20	100	60	1.166177374
14	17	200	90	0.654629411
15	20	200	30	0.87334123
15	20	200	80	0.510574851
26	25	300	35	0.514113413
15	20	200	60	0.777208513
15	15	300	50	0.59150413
30	15	200	30	0.824427842
30	20	100	70	0.736392617
30	15	300	30	0.450843254
22	18	100	48	1.188537496
14	17	200	30	0.991036709
18	23	100	20	1.2874723
14	17	200	60	0.899102232
15	20	100	50	1.171140151
20	20	100	40	1.234492651
15	15	200	40	0.635426082
